,status,TotalExecutionTime,nbResult,planningTime,executionTime,query,workload,approach,run
0,ok,0.356,7,,,q01a,rdfs,Jena,1
0,ok,0.379,9,,,q01b,rdfs,Jena,1
0,ok,0.384,1,,,q01c,rdfs,Jena,1
0,ok,0.341,8,,,q01d,rdfs,Jena,1
0,ok,0.379,5,,,q01e,rdfs,Jena,1
0,ok,0.388,3,,,q01f,rdfs,Jena,1
0,ok,0.406,6,,,q01g,rdfs,Jena,1
0,ok,0.379,5,,,q01h,rdfs,Jena,1
0,ok,0.47,1,,,q01i,rdfs,Jena,1
0,ok,0.383,7,,,q01j,rdfs,Jena,1
0,ok,2.668,5,,,q05b,rdfs,Jena,1
0,ok,0.875,3,,,q05d,rdfs,Jena,1
0,ok,1.061,3,,,q05j,rdfs,Jena,1
0,ok,0.914,72,,,q07a,rdfs,Jena,1
0,ok,0.506,25,,,q07b,rdfs,Jena,1
0,ok,0.718,54,,,q07c,rdfs,Jena,1
0,ok,0.86,66,,,q07d,rdfs,Jena,1
0,ok,0.396,9,,,q07e,rdfs,Jena,1
0,ok,0.66,42,,,q07f,rdfs,Jena,1
0,ok,0.771,63,,,q07g,rdfs,Jena,1
0,ok,0.667,36,,,q07h,rdfs,Jena,1
0,ok,0.689,56,,,q07i,rdfs,Jena,1
0,ok,1.067,110,,,q07j,rdfs,Jena,1
0,ok,0.474,7,,,q01a,rdfs,FedX,1
0,ok,0.494,9,,,q01b,rdfs,FedX,1
0,ok,0.398,1,,,q01c,rdfs,FedX,1
0,ok,0.44,8,,,q01d,rdfs,FedX,1
0,ok,0.393,5,,,q01e,rdfs,FedX,1
0,ok,0.431,3,,,q01f,rdfs,FedX,1
0,ok,0.417,6,,,q01g,rdfs,FedX,1
0,ok,0.406,5,,,q01h,rdfs,FedX,1
0,ok,0.341,1,,,q01i,rdfs,FedX,1
0,ok,0.419,7,,,q01j,rdfs,FedX,1
0,ok,2.891,5,,,q05b,rdfs,FedX,1
0,ok,0.793,3,,,q05d,rdfs,FedX,1
0,ok,0.945,3,,,q05j,rdfs,FedX,1
0,ok,1.448,72,,,q07a,rdfs,FedX,1
0,ok,0.581,25,,,q07b,rdfs,FedX,1
0,ok,0.932,54,,,q07c,rdfs,FedX,1
0,ok,1.032,66,,,q07d,rdfs,FedX,1
0,ok,0.509,9,,,q07e,rdfs,FedX,1
0,ok,0.755,42,,,q07f,rdfs,FedX,1
0,ok,0.956,63,,,q07g,rdfs,FedX,1
0,ok,0.626,36,,,q07h,rdfs,FedX,1
0,ok,0.967,56,,,q07i,rdfs,FedX,1
0,ok,1.113,110,,,q07j,rdfs,FedX,1
0,ok,0.286,7,,,q01a,rdfs,Hefquin,1
0,ok,0.31,9,,,q01b,rdfs,Hefquin,1
0,ok,0.25,1,,,q01c,rdfs,Hefquin,1
0,ok,0.24,8,,,q01d,rdfs,Hefquin,1
