,status,executionTime,nbResult,query,workload,approach,run
0,ok,0.927,1.0,q01a,rdfs,FedUp-FedX,1
0,ok,0.95,1.0,q01a,rdfs,FedUp-FedX,2
0,ok,1.022,1.0,q01a,rdfs,FedUp-FedX,3
0,ok,1.781,9.0,q01b,rdfs,FedUp-FedX,1
0,ok,1.227,9.0,q01b,rdfs,FedUp-FedX,2
0,ok,1.721,9.0,q01b,rdfs,FedUp-FedX,3
0,ok,1.993,1.0,q01c,rdfs,FedUp-FedX,1
0,ok,1.621,1.0,q01c,rdfs,FedUp-FedX,2
0,ok,1.795,1.0,q01c,rdfs,FedUp-FedX,3
0,ok,1.091,8.0,q01d,rdfs,FedUp-FedX,1
0,ok,1.034,8.0,q01d,rdfs,FedUp-FedX,2
0,ok,1.018,8.0,q01d,rdfs,FedUp-FedX,3
0,ok,1.543,5.0,q01e,rdfs,FedUp-FedX,1
0,ok,0.919,5.0,q01e,rdfs,FedUp-FedX,2
0,ok,1.657,5.0,q01e,rdfs,FedUp-FedX,3
0,ok,1.1,3.0,q01f,rdfs,FedUp-FedX,1
0,ok,0.881,3.0,q01f,rdfs,FedUp-FedX,2
0,ok,0.824,3.0,q01f,rdfs,FedUp-FedX,3
0,ok,0.934,6.0,q01g,rdfs,FedUp-FedX,1
0,ok,0.83,6.0,q01g,rdfs,FedUp-FedX,2
0,ok,0.812,6.0,q01g,rdfs,FedUp-FedX,3
0,ok,1.384,5.0,q01h,rdfs,FedUp-FedX,1
0,ok,1.074,5.0,q01h,rdfs,FedUp-FedX,2
0,ok,1.084,5.0,q01h,rdfs,FedUp-FedX,3
0,ok,1.785,1.0,q01i,rdfs,FedUp-FedX,1
0,ok,1.554,1.0,q01i,rdfs,FedUp-FedX,2
0,ok,1.315,1.0,q01i,rdfs,FedUp-FedX,3
0,ok,1.289,7.0,q01j,rdfs,FedUp-FedX,1
0,ok,1.336,7.0,q01j,rdfs,FedUp-FedX,2
0,ok,0.944,7.0,q01j,rdfs,FedUp-FedX,3
0,ok,9.604,54.0,q02a,rdfs,FedUp-FedX,1
0,ok,6.012,54.0,q02a,rdfs,FedUp-FedX,2
0,ok,5.808,54.0,q02a,rdfs,FedUp-FedX,3
0,ok,4.577,54.0,q02b,rdfs,FedUp-FedX,1
0,ok,3.629,54.0,q02b,rdfs,FedUp-FedX,2
0,ok,4.042,54.0,q02b,rdfs,FedUp-FedX,3
0,ok,8.601,72.0,q02c,rdfs,FedUp-FedX,1
0,ok,12.414,72.0,q02c,rdfs,FedUp-FedX,2
0,ok,10.06,72.0,q02c,rdfs,FedUp-FedX,3
0,ok,1.645,9.0,q02d,rdfs,FedUp-FedX,1
0,ok,1.774,9.0,q02d,rdfs,FedUp-FedX,2
0,ok,0.707,9.0,q02d,rdfs,FedUp-FedX,3
0,ok,13.923,99.0,q02e,rdfs,FedUp-FedX,1
0,ok,13.769,99.0,q02e,rdfs,FedUp-FedX,2
0,ok,12.614,99.0,q02e,rdfs,FedUp-FedX,3
0,ok,4.917,27.0,q02f,rdfs,FedUp-FedX,1
0,ok,0.84,27.0,q02f,rdfs,FedUp-FedX,2
0,ok,0.993,27.0,q02f,rdfs,FedUp-FedX,3
0,ok,4.786,36.0,q02g,rdfs,FedUp-FedX,1
0,ok,2.831,36.0,q02g,rdfs,FedUp-FedX,2
0,ok,4.931,36.0,q02g,rdfs,FedUp-FedX,3
0,ok,6.75,45.0,q02h,rdfs,FedUp-FedX,1
0,ok,6.024,45.0,q02h,rdfs,FedUp-FedX,2
0,ok,7.968,45.0,q02h,rdfs,FedUp-FedX,3
0,ok,10.324,90.0,q02i,rdfs,FedUp-FedX,1
0,ok,8.872,90.0,q02i,rdfs,FedUp-FedX,2
0,ok,7.32,90.0,q02i,rdfs,FedUp-FedX,3
0,ok,0.743,18.0,q02j,rdfs,FedUp-FedX,1
0,ok,3.178,18.0,q02j,rdfs,FedUp-FedX,2
0,ok,3.588,18.0,q02j,rdfs,FedUp-FedX,3
0,ok,8.297,4.0,q03a,rdfs,FedUp-FedX,1
0,ok,6.066,4.0,q03a,rdfs,FedUp-FedX,2
0,ok,6.114,4.0,q03a,rdfs,FedUp-FedX,3
0,ok,5.039,10.0,q03b,rdfs,FedUp-FedX,1
0,ok,4.523,10.0,q03b,rdfs,FedUp-FedX,2
0,ok,4.349,10.0,q03b,rdfs,FedUp-FedX,3
0,ok,4.638,6.0,q03c,rdfs,FedUp-FedX,1
0,ok,3.819,6.0,q03c,rdfs,FedUp-FedX,2
0,ok,4.083,6.0,q03c,rdfs,FedUp-FedX,3
0,ok,6.602,8.0,q03d,rdfs,FedUp-FedX,1
0,ok,5.512,8.0,q03d,rdfs,FedUp-FedX,2
0,ok,5.757,8.0,q03d,rdfs,FedUp-FedX,3
0,ok,6.75,6.0,q03e,rdfs,FedUp-FedX,1
0,ok,3.834,6.0,q03e,rdfs,FedUp-FedX,2
0,ok,3.954,6.0,q03e,rdfs,FedUp-FedX,3
0,ok,4.644,5.0,q03f,rdfs,FedUp-FedX,1
0,ok,3.94,5.0,q03f,rdfs,FedUp-FedX,2
0,ok,3.74,5.0,q03f,rdfs,FedUp-FedX,3
0,ok,5.413,4.0,q03g,rdfs,FedUp-FedX,1
0,ok,4.209,4.0,q03g,rdfs,FedUp-FedX,2
0,ok,4.389,4.0,q03g,rdfs,FedUp-FedX,3
0,ok,5.048,10.0,q03h,rdfs,FedUp-FedX,1
0,ok,4.119,10.0,q03h,rdfs,FedUp-FedX,2
0,ok,4.18,10.0,q03h,rdfs,FedUp-FedX,3
0,ok,5.549,6.0,q03i,rdfs,FedUp-FedX,1
0,ok,4.514,6.0,q03i,rdfs,FedUp-FedX,2
0,ok,4.758,6.0,q03i,rdfs,FedUp-FedX,3
0,ok,3.469,10.0,q03j,rdfs,FedUp-FedX,1
0,ok,3.031,10.0,q03j,rdfs,FedUp-FedX,2
0,ok,2.869,10.0,q03j,rdfs,FedUp-FedX,3
0,ok,2.167,7.0,q04a,rdfs,FedUp-FedX,1
0,ok,3.457,7.0,q04a,rdfs,FedUp-FedX,2
0,ok,1.832,7.0,q04a,rdfs,FedUp-FedX,3
0,ok,2.852,6.0,q04b,rdfs,FedUp-FedX,1
0,ok,2.573,6.0,q04b,rdfs,FedUp-FedX,2
0,ok,2.739,6.0,q04b,rdfs,FedUp-FedX,3
0,ok,0.67,10.0,q04c,rdfs,FedUp-FedX,1
0,ok,0.621,10.0,q04c,rdfs,FedUp-FedX,2
0,ok,0.841,10.0,q04c,rdfs,FedUp-FedX,3
0,ok,2.676,1.0,q04d,rdfs,FedUp-FedX,1
0,ok,2.849,1.0,q04d,rdfs,FedUp-FedX,2
0,ok,3.16,1.0,q04d,rdfs,FedUp-FedX,3
0,ok,3.312,6.0,q04e,rdfs,FedUp-FedX,1
0,ok,3.301,6.0,q04e,rdfs,FedUp-FedX,2
0,ok,3.688,6.0,q04e,rdfs,FedUp-FedX,3
0,ok,3.369,10.0,q04f,rdfs,FedUp-FedX,1
0,ok,3.25,10.0,q04f,rdfs,FedUp-FedX,2
0,ok,2.919,10.0,q04f,rdfs,FedUp-FedX,3
0,ok,1.465,8.0,q04g,rdfs,FedUp-FedX,1
0,ok,1.326,8.0,q04g,rdfs,FedUp-FedX,2
0,ok,0.816,8.0,q04g,rdfs,FedUp-FedX,3
0,ok,2.858,9.0,q04h,rdfs,FedUp-FedX,1
0,ok,2.455,9.0,q04h,rdfs,FedUp-FedX,2
0,ok,1.921,9.0,q04h,rdfs,FedUp-FedX,3
0,ok,2.072,8.0,q04i,rdfs,FedUp-FedX,1
0,ok,1.131,8.0,q04i,rdfs,FedUp-FedX,2
0,ok,2.107,8.0,q04i,rdfs,FedUp-FedX,3
0,ok,3.519,4.0,q04j,rdfs,FedUp-FedX,1
0,ok,1.435,4.0,q04j,rdfs,FedUp-FedX,2
0,ok,1.495,4.0,q04j,rdfs,FedUp-FedX,3
0,ok,21.706,39.0,q06a,rdfs,FedUp-FedX,1
0,ok,21.165,39.0,q06a,rdfs,FedUp-FedX,2
0,ok,18.396,39.0,q06a,rdfs,FedUp-FedX,3
0,ok,22.414,15.0,q06b,rdfs,FedUp-FedX,1
0,ok,18.933,15.0,q06b,rdfs,FedUp-FedX,2
0,ok,19.673,15.0,q06b,rdfs,FedUp-FedX,3
0,ok,19.467,13.0,q06c,rdfs,FedUp-FedX,1
0,ok,20.074,13.0,q06c,rdfs,FedUp-FedX,2
0,ok,23.263,13.0,q06c,rdfs,FedUp-FedX,3
0,ok,21.863,39.0,q06d,rdfs,FedUp-FedX,1
0,ok,18.07,39.0,q06d,rdfs,FedUp-FedX,2
0,ok,19.684,39.0,q06d,rdfs,FedUp-FedX,3
0,ok,20.103,41.0,q06e,rdfs,FedUp-FedX,1
0,ok,19.532,41.0,q06e,rdfs,FedUp-FedX,2
0,ok,21.519,41.0,q06e,rdfs,FedUp-FedX,3
0,ok,20.334,7.0,q06f,rdfs,FedUp-FedX,1
0,ok,22.348,7.0,q06f,rdfs,FedUp-FedX,2
0,ok,18.581,7.0,q06f,rdfs,FedUp-FedX,3
0,ok,22.32,41.0,q06g,rdfs,FedUp-FedX,1
0,ok,18.478,41.0,q06g,rdfs,FedUp-FedX,2
0,ok,18.15,41.0,q06g,rdfs,FedUp-FedX,3
0,ok,19.265,15.0,q06h,rdfs,FedUp-FedX,1
0,ok,22.639,15.0,q06h,rdfs,FedUp-FedX,2
0,ok,17.923,15.0,q06h,rdfs,FedUp-FedX,3
0,ok,19.824,15.0,q06i,rdfs,FedUp-FedX,1
0,ok,17.931,15.0,q06i,rdfs,FedUp-FedX,2
0,ok,18.856,15.0,q06i,rdfs,FedUp-FedX,3
0,ok,22.551,9.0,q06j,rdfs,FedUp-FedX,1
0,ok,21.834,9.0,q06j,rdfs,FedUp-FedX,2
0,ok,22.197,9.0,q06j,rdfs,FedUp-FedX,3
0,ok,2.462,72.0,q07a,rdfs,FedUp-FedX,1
0,ok,2.395,72.0,q07a,rdfs,FedUp-FedX,2
0,ok,2.234,72.0,q07a,rdfs,FedUp-FedX,3
0,ok,0.865,25.0,q07b,rdfs,FedUp-FedX,1
0,ok,0.961,25.0,q07b,rdfs,FedUp-FedX,2
0,ok,0.938,25.0,q07b,rdfs,FedUp-FedX,3
0,ok,1.681,54.0,q07c,rdfs,FedUp-FedX,1
0,ok,1.5,54.0,q07c,rdfs,FedUp-FedX,2
0,ok,1.634,54.0,q07c,rdfs,FedUp-FedX,3
0,ok,2.047,66.0,q07d,rdfs,FedUp-FedX,1
0,ok,1.878,66.0,q07d,rdfs,FedUp-FedX,2
0,ok,1.854,66.0,q07d,rdfs,FedUp-FedX,3
0,ok,0.641,9.0,q07e,rdfs,FedUp-FedX,1
0,ok,0.507,9.0,q07e,rdfs,FedUp-FedX,2
0,ok,0.437,9.0,q07e,rdfs,FedUp-FedX,3
0,ok,1.45,42.0,q07f,rdfs,FedUp-FedX,1
0,ok,1.552,42.0,q07f,rdfs,FedUp-FedX,2
0,ok,1.307,42.0,q07f,rdfs,FedUp-FedX,3
