,status,TotalExecutionTime,nbResult,planningTime,executionTime,query,workload,approach,run
0,ok,1.085,7,,,q01a,rdfs,Jena,1
0,ok,1.585,9,,,q01b,rdfs,Jena,1
0,ok,1.231,1,,,q01c,rdfs,Jena,1
0,ok,1.343,8,,,q01d,rdfs,Jena,1
0,ok,1.202,5,,,q01e,rdfs,Jena,1
0,ok,0.829,3,,,q01f,rdfs,Jena,1
0,ok,0.844,6,,,q01g,rdfs,Jena,1
0,ok,0.845,5,,,q01h,rdfs,Jena,1
0,ok,0.883,1,,,q01i,rdfs,Jena,1
0,ok,1.178,7,,,q01j,rdfs,Jena,1
0,ok,29.886,54,,,q02a,rdfs,Jena,1
0,ok,28.439,54,,,q02b,rdfs,Jena,1
0,ok,30.372,72,,,q02c,rdfs,Jena,1
0,ok,4.277,9,,,q02d,rdfs,Jena,1
0,ok,52.038,99,,,q02e,rdfs,Jena,1
0,ok,14.022,27,,,q02f,rdfs,Jena,1
0,ok,8.397,36,,,q02g,rdfs,Jena,1
0,ok,14.928,45,,,q02h,rdfs,Jena,1
0,ok,46.61,90,,,q02i,rdfs,Jena,1
0,ok,7.925,18,,,q02j,rdfs,Jena,1
0,ok,1.079,4,,,q03a,rdfs,Jena,1
0,ok,1.308,10,,,q03b,rdfs,Jena,1
0,ok,1.403,6,,,q03c,rdfs,Jena,1
0,ok,1.058,8,,,q03d,rdfs,Jena,1
0,ok,1.261,6,,,q03e,rdfs,Jena,1
0,ok,1.334,5,,,q03f,rdfs,Jena,1
0,ok,1.177,4,,,q03g,rdfs,Jena,1
0,ok,1.158,10,,,q03h,rdfs,Jena,1
0,ok,0.831,6,,,q03i,rdfs,Jena,1
0,ok,2.109,10,,,q03j,rdfs,Jena,1
0,ok,1.12,7,,,q04a,rdfs,Jena,1
0,ok,1.324,6,,,q04b,rdfs,Jena,1
0,ok,2.013,10,,,q04c,rdfs,Jena,1
0,ok,0.765,1,,,q04d,rdfs,Jena,1
0,ok,1.676,6,,,q04e,rdfs,Jena,1
0,ok,1.691,10,,,q04f,rdfs,Jena,1
0,ok,0.949,8,,,q04g,rdfs,Jena,1
0,ok,1.412,9,,,q04h,rdfs,Jena,1
0,ok,1.32,8,,,q04i,rdfs,Jena,1
0,ok,1.043,4,,,q04j,rdfs,Jena,1
0,ok,7.87,2,,,q05a,rdfs,Jena,1
0,ok,7.508,5,,,q05b,rdfs,Jena,1
0,ok,3.611,1,,,q05c,rdfs,Jena,1
0,ok,2.53,3,,,q05d,rdfs,Jena,1
0,ok,4.574,1,,,q05e,rdfs,Jena,1
0,ok,7.36,2,,,q05f,rdfs,Jena,1
0,ok,5.603,5,,,q05g,rdfs,Jena,1
0,ok,6.545,5,,,q05h,rdfs,Jena,1
0,ok,3.635,2,,,q05i,rdfs,Jena,1
